product_name,product_review,user_rating
Kentucky Brunch Brand Stout,"Rated by michalpingwin 4.41 /5 rDev -8.7% look: 4.5 | smell: 4.75 | taste: 4.25 | feel: 4 |  overall: 4.5 Good Mar 25, 2025 Report",4.41
Kentucky Brunch Brand Stout,"Reviewed by ovaltine from Indiana 4.94 /5 rDev +2.3% look: 5 | smell: 4.75 | taste: 5 | feel: 5 |  overall: 5 Pours the purest black color you’ve ever seen, swallowing all light in its path, and sporting a substantial, creamy mocha colored head that lingers and leaves a bracelet of a ring around the glass as you enjoy the beer.  An absolutely gorgeous BA impy stout. The nose is led by a decadent maple aroma, with roasty coffee notes following along with fudge brownie aromas triggering the salivary glands, and a bit of whiskey added in for good measure.  I am literally drooling. The maple is forward on the taste as well and quite delicious - and it is the least conspicuous flavor, with that fudge brownie flavor shining through SOOOO rich before it yields to the balance of the roasty coffee flavor so as not to become cloying - and then it’s all topped off by the whiskey at the back of the palate for a welcome bit of heat  and even more balance.  Truly astounding flavor profile. The mouthfeel is rich, full, and chewy like the aforementioned fudge brownie.  Spectacular.  This is the #1 rated beer on this website for a reason, and it’s now my #1 rated beer as well.  The absolute best, IMHO. Feb 22, 2025 Report",4.94
Kentucky Brunch Brand Stout,"Reviewed by Vainvoid 4.98 /5 rDev +3.1% look: 5 | smell: 5 | taste: 5 | feel: 4.75 |  overall: 5 This beer is intense, and yet, it feels very smooth. The chocolate notes are strong, accompanied by a touch of coffee that blend together perfectly to provide an equally excellent scent and flavor. I'm not the biggest fan of stouts, but this one absolutely deserves all the praise it gets. Feb 22, 2025 Report",4.98
Kentucky Brunch Brand Stout,"Reviewed by Beersnake from California 4.43 /5 rDev -8.3% look: 4.5 | smell: 4.5 | taste: 4.25 | feel: 4.75 |  overall: 4.5 2022 vintage poured at fridge temp but tasted after it warmed in the glass for 15 minutes. Pours a very thick black with almost no head. The nose is pretty crazy. Maple syrup, chocolate, coffee, bourbon, and vanilla. The taste is less sweet than suggested by the nose. The coffee really comes through here. Maple, burnt vanilla, salted toffee, fudge, biscuits, and a very slight roasty note. The body is pretty amazing. Thick and viscous. Goes down like a thick chocolate milk. The aftertaste is burnt toffee and coffee. The finish is super long. The alcohol is not really detectable. Is this the best beer I have ever tasted? Definitely not. Is it fantastic? Absolutely. Dec 25, 2024 Report",4.43
Kentucky Brunch Brand Stout,"Reviewed by John_M from Washington 4.61 /5 rDev -4.6% look: 4.5 | smell: 4.75 | taste: 4.5 | feel: 5 |  overall: 4.5 Sampled at the brewery, this is the 2022 bottle version. The beer pours a viscous, blackish brown color with light brownish lacing and good head retention.  This beer pours like motor oil, and has the look of a beer that has seen some serious barrel aging (which I assume it has).   The nose is rich and decadent, showcasing maple syrup, dark chocolate, chocolate brownie, vanilla, light coffee and noticeable bourbon.  This smells like it might be pretty good, albeit very sweet and rich.  The flavor profile replicates the nose pretty closely, with the maple syrup, vanilla and bourbon taking center stage.  This beer is very sweet with quite a bit of maple flavor, which is perhaps its only flaw.  Mouthfeel is very full, with a long, soft finish.  The beer comes across as very viscous on the palate. Carbonation is fairly low, which I think works well with the mouthfeel in this beer.  The finish in this beer goes on forever.  Alcohol is very well integrated into the flavor profile, though the abv is actually relatively low for a ba stout these days.  In any event, while you can tell the abv is up there in this beer, there's no heat or off flavors from the alcohol. Obviously, this is an excellent BA impy stout.  Does is justify the hype and price tag?  Can't answer that.  Depends on the consumer I suppose.  All I'll say is that it's a a very good beer and one I'm happy to have tried. Jun 04, 2024 Report",4.61
Kentucky Brunch Brand Stout,"Reviewed by GreenBayBA from Wisconsin 4.7 /5 rDev -2.7% look: 5 | smell: 5 | taste: 4.5 | feel: 5 |  overall: 4.5 Perfect black color. I didn't see much foam, other than a brown ring. The smell is a perfect blend of maple, coffee, chocolate, and bourbon. The taste is strong with maple. Almost too strong. Chocolate follows, with coffee, bourbon, and vanilla. It is very sweet. The mouthfeel is thick, smooth, lucious, and full. Very nice. Overall, this is a wonderful beer, but there is too much maple flavor for it to be one of my favorite beers. Dec 09, 2023 Report",
Kentucky Brunch Brand Stout,"Rated by poidog from Hawaii 5 /5 rDev +3.5% look: 5 | smell: 5 | taste: 5 | feel: 5 |  overall: 5 Amazing stout, expensive but worth the price! Aug 06, 2023 Report",
Kentucky Brunch Brand Stout,"Rated by Filabee from Michigan 5 /5 rDev +3.5% look: 5 | smell: 5 | taste: 5 | feel: 5 |  overall: 5 This beer meet and exceeded all the unreal hype. It is simply amazing! Jul 08, 2023 Report",
Kentucky Brunch Brand Stout,"Rated by alexnblanton from Arkansas 5 /5 rDev +3.5% look: 5 | smell: 5 | taste: 5 | feel: 5 |  overall: 5 Let it sit and warm to the room a little ... unbelievable. May 17, 2023 Report",
Kentucky Brunch Brand Stout,"Reviewed by beergoot from Colorado 4.67 /5 rDev -3.3% look: 4 | smell: 4.5 | taste: 5 | feel: 4.5 |  overall: 4.5 A small pour, ebony dark, no real head. Intense, rich aroma, brownies and German chocolate cake; dark sweetness. The taste amplifies the smell with the addition of sublime Kentucky bourbon. Heavy body; dense, chewy residual sugar feel with a sublime whiskey heat. This beauty was generously provided by @azuelke (Adam) at a bottle share hosted by @GreenBayBA in Sheboygan, WI. There were many great beers sample, many beautiful and exquisite dark beers, but nothing quite like this legendary beer. If ever you have a chance to try this one, all I can say is don't pass it up. The beer lives up to its legendary status. Pouring temperature: n/a; bottling info: unknown year, bottle number #138 Source: @azuelke (Adam), Sheboygan, WI bottle share May 12, 2023 Report",4.67
Kentucky Brunch Brand Stout,"Reviewed by smokinjimmyv from Illinois 5 /5 rDev +3.5% look: 5 | smell: 5 | taste: 5 | feel: 5 |  overall: 5 I didnt think i was going to give it a perfect score but..... Its looks, smells, tastes, a 5,  HOWEVER, the mouth feel is NOT BY ANY MEANS EQUAL TO LOOK SMELL AND TASTE.  Pardon me i have to sit down.  Mouth feel is, well 11.  Yeh, like twice as good as anything ive ever had before.  It grabs you by the face with both hands and says, 'what was that that just went down my throat'.  It tasted familiar-- like real, pure butter on real Belgium-chocolate, buttermilk pancakes with fresh highbush blueberries, real Vermont maple syrup and Madagascar vanilla, served with Seattle coffee, and a shot of pappy. May 10, 2022 Report",
Kentucky Brunch Brand Stout,"Reviewed by Emichaelbray from Pennsylvania 3.79 /5 rDev -21.5% look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 |  overall: 3.75 So I just read a review that called the legendary KBBS, “typical…white trash.” It kinda made me nervous because I don’t dig white/pale stouts and I thought, “how could I miss that this being a white stout?!” Well happily that guy is drinking something else. Or maybe he meant that KBBS is like Mountain Dew; enjoyed by European-Americans whom the reviewer is afraid of. Bah, who cares? So KBBS. Looks great poured into a wine stem. Really dark lovely stuff. There’s foam for those of you who judge beer based on foam. Yep, it’s present. Looks like foam too. The wine glass is supposed to enable the drinker to easily acquire aromas. This one is heavy on the adjuncts and, as a result, heavy on aromas that should be present but not so overwhelming. I am a lover of all things maple syrup so I enjoy it. Underneath the maple I get pretty standard, decent stout aromas of coffee, cocoa and roasted grain. Maybe mulberries? Yeah mulberries have an aroma and it’s subtle but rather pleasant. The additions aren’t artificial on the nose but just too much. Kinda like someone skipped the basics and went right to breaking the rules. I could go on at length about the fallacy of that approach but you don’t care. After tasting many beers and learning how to pay attention to the different aspects of beer tasting, I have found that reviewing the “front,” “back” and finish is not NECESSARILY pretentious, it’s simply that many reviewers are. This one is actually kinda consistent. The nose is pretty reliable in telegraphing the initial flavor. The maple maple maple. Yeah it’s real maple syrup and there’s a lot of it. There’s definitely cocoa and quite possibly vanilla adjuncts present. I am not going to trash this beer because of the adjuncts - I knew that going in. But they’re aggressive. Dark fruit on the finish, for which I am grateful. Given the abv and particular adjuncts, I expected a boozy, heavy feel with little carbonation and that is exactly it. Again, pleasant. Of course some will reflexively say that the highest rated beers are overrated. In this case I agree but that’s a reactionary approach. This is a very enjoyable beer. Of late I have become increasingly skeptical of adjunct stouts because I truly  think that they are too quickly used when experience and talent can produce a world of flavors without just capriciously tossing stuff in a barrel. In sum, the score is ridiculously high. But it’s too good to score it a protest one… Mar 11, 2022 Report",3.79
